NewsDesk,SectionName,SubsectionName,Headline,Snippet,Abstract,WordCount,PubDate,UniqueID,Weekday,DayofMonth,Time
,,,Verbatim: This Time Is Different,"President Obama, after meeting with community leaders and law enforcement officials about the unrest in Ferguson, Mo., said he was deeply invested in making sure their relationships improve.","President Obama, after meeting with community leaders and law enforcement officials about the unrest in Ferguson, Mo., said he was deeply invested in making sure their relationships improve.",52,01-12-2014 17:52,6543,2,1,17
OpEd,Opinion,,The Dead at Franklin,"In late 1864, John Bell Hood made a desperate, disastrous stab at Middle Tennessee.","In late 1864, John Bell Hood made a desperate, disastrous stab at Middle Tennessee.",1495,01-12-2014 17:45,6544,2,1,17
Culture,Arts,,New Wreaths for New York Public Library's Lions,Patience and Fortitude will get redesigned holiday wreaths.,Patience and Fortitude will get redesigned holiday wreaths.,165,01-12-2014 17:37,6545,2,1,17
Travel,Travel,,"Rio, Real Early",The Belmond Copacabana Palace in Rio de Janeiro is offering a sunrise picnic with sweeping views of the city.,The Belmond Copacabana Palace in Rio de Janeiro is offering a sunrise picnic with sweeping views of the city.,280,01-12-2014 17:30,6546,2,1,17
TStyle,,,"On the Designer Nili Lotan's Website, a Trove of Thoughtful Gifts","Just in time for the holidays, the woman behind the label has curated a selection of vintage books, records, jewelry and other objects for sale online.","Just in time for the holidays, the woman behind the label has curated a selection of vintage books, records, jewelry and other objects for sale online.",123,01-12-2014 17:30,6547,2,1,17
Science,Health,,I Was My Own Trauma Unit,The victim of a cycling accident found that his body shielded him from much of the pain.,The victim of a cycling accident found that his body shielded him from much of the pain.,1268,01-12-2014 17:29,6548,2,1,17
Science,Health,,Part D for Drug Coverage  and Drudgery,"Like doing our taxes, signing up for Medicare Part D, the insurance program for drug coverage, takes days out of our lives and leaves us sitting in a heap of papers with a splitting headache.","Like doing our taxes, signing up for Medicare Part D, the insurance program for drug coverage, takes days out of our lives and leaves us sitting in a heap of papers with a splitting headache.",1081,01-12-2014 17:21,6549,2,1,17
,,,On the Heroin Beat: Dispatch from Staten Island ,The reporters J. David Goodman and Michael Wilson described a suburban mothers descent to a heroin addict whose home on Staten Island served as a drug-dealing center.,The reporters J. David Goodman and Michael Wilson described a suburban mothers descent to a heroin addict whose home on Staten Island served as a drug-dealing center.,887,01-12-2014 17:20,6550,2,1,17
Science,Health,,Diabetes in Midlife Tied to Memory Problems Late in Life,Researchers have found that people diagnosed with diabetes in their 50s are significantly more likely than others to suffer mental decline by their 70s.,Researchers have found that people diagnosed with diabetes in their 50s are significantly more likely than others to suffer mental decline by their 70s.,223,01-12-2014 17:00,6551,2,1,17
Foreign,World,Asia Pacific,Q. and A.: James Leibold on Ethnic Policies in China ,"Mr. Leibolds research focuses on the Chinese governments policies toward ethnic minorities and their effects on peoples daily lives. He recently returned from a trip to the western region of Xinjiang,","Mr. Leibolds research focuses on the Chinese governments policies toward ethnic minorities and their effects on peoples daily lives. He recently returned from a trip to the western region of Xinjiang,",1376,01-12-2014 17:00,6552,2,1,17
Business,Technology,,A Low-Cost Alternative to Pricy Big Data on the Farm,"The transformation of agriculture with information technology would seem like bad news for the little guy. The sensor-heavy machines cost more, and the data analysis requires specialized information. But there are lower-cost options.","The transformation of agriculture with information technology would seem like bad news for the little guy. The sensor-heavy machines cost more, and the data analysis requires specialized information. But there are lower-cost options.",604,01-12-2014 16:50,6553,2,1,16
Culture,Arts,,A Happy Holiday Week for Broadway,"Sales were strong for Broadway shows during Thanksgiving week, adding up to $34.1 million for the 36 shows.","Sales were strong for Broadway shows during Thanksgiving week, adding up to $34.1 million for the 36 shows.",376,01-12-2014 16:50,6554,2,1,16
Science,Health,,When Everyday Noise Is Unbearable,"Hyperacusis, or sound sensitivity, sometimes comes with excruciating ear pain, too. This poorly understood medical condition is just beginning to receive more serious attention.","Hyperacusis, or sound sensitivity, sometimes comes with excruciating ear pain, too. This poorly understood medical condition is just beginning to receive more serious attention.",857,01-12-2014 16:49,6555,2,1,16
Business,Business Day,Dealbook,Cypress Semiconductor to Buy Spansion for $1.6 Billion,The deal gives the computer chip manufacturer a prominent maker of flash memory and other specialized products.,The deal gives the computer chip manufacturer a prominent maker of flash memory and other specialized products.,259,01-12-2014 16:45,6556,2,1,16
,Multimedia,,"Dec. 1, 2014  Pictures of the Day","Photos from Hong Kong, Paris, South Korea and the United States.","Photos from Hong Kong, Paris, South Korea and the United States.",17,01-12-2014 16:37,6557,2,1,16
Science,Health,,Ask Well: Eating Fat to Boost Vitamin D and Calcium,A reader asks: Must you eat fat to absorb calcium and vitamin D?,A reader asks: Must you eat fat to absorb calcium and vitamin D?,402,01-12-2014 16:27,6558,2,1,16
,,,Homeland Security Chief Set to Defend Immigration Action,"Jeh C. Johnson, the Homeland Security secretary, is prepared to defend the presidents decision to take executive action to overhaul the immigration system.","Jeh C. Johnson, the Homeland Security secretary, is prepared to defend the presidents decision to take executive action to overhaul the immigration system.",220,01-12-2014 16:14,6559,2,1,16
OpEd,Opinion,,Governor Cuomo Tries to Do Something About the Weather,He wants to spend $18.7 million to create a state weather service. But predicting the weather is more complicated than he seems to believe.,He wants to spend $18.7 million to create a state weather service. But predicting the weather is more complicated than he seems to believe.,319,01-12-2014 16:12,6560,2,1,16
Styles,U.S.,,The Modern Parent's ABC: H Is for Harried,Frosting three dozen cupcakes for school while helping with a science project and answering your email? Welcome to the modern parents alphabet.,Frosting three dozen cupcakes for school while helping with a science project and answering your email? Welcome to the modern parents alphabet.,193,01-12-2014 16:02,6561,2,1,16
Culture,Arts,,Kathy Griffin Takes Over From Joan Rivers as 'Fashion Police' Host,The show will resume the day after the Golden Globes in January.,The show will resume the day after the Golden Globes in January.,153,01-12-2014 16:01,6562,2,1,16
,,,First Draft Focus: A Red Ribbon on the White House,A large red ribbon was hung from the White House on Monday in honor of World AIDS Day.,A large red ribbon was hung from the White House on Monday in honor of World AIDS Day.,0,01-12-2014 15:56,6563,2,1,15
Business,Business Day,Dealbook,"Azul, Brazil Airline Started by JetBlue Founder, Files for I.P.O.","This year had been slow for Brazils capital markets, but the fall in petroleum prices is helping airline stocks worldwide.","This year had been slow for Brazils capital markets, but the fall in petroleum prices is helping airline stocks worldwide.",411,01-12-2014 15:52,6564,2,1,15
TStyle,,,Barry McGee Designs a Beats Pill for NADA Miami Beach,"For a special-edition version of the speaker available only at the fair, the iconic street artist created a design inspired by rolling papers.","For a special-edition version of the speaker available only at the fair, the iconic street artist created a design inspired by rolling papers.",297,01-12-2014 15:45,6565,2,1,15
Business,Technology,,"Microsoft Buys Acompli, an Email Start-Up","Microsoft said it acquired for about $200 million Acompli, a young start-up that makes an email application for iOS and Android mobile devices.","Microsoft said it acquired for about $200 million Acompli, a young start-up that makes an email application for iOS and Android mobile devices.",358,01-12-2014 15:40,6566,2,1,15
,,,The Secret Life of Passwords: Reporter's Notebook,Ian Urbina describes how he reported his Times Magazine story The Secret Life of Passwords.,Ian Urbina describes how he reported his Times Magazine story The Secret Life of Passwords.,833,01-12-2014 15:33,6567,2,1,15
OpEd,Opinion,,Smooth Pivot on Immigration by the Deporter-in-Chief,"In Chicago, the president acknowledged that large-scale deportations were a part of the problem.","In Chicago, the president acknowledged that large-scale deportations were a part of the problem.",567,01-12-2014 15:18,6568,2,1,15
OpEd,Opinion,,Oil Prices and Deflationary Bias,"Up, down, its always a reason for tight money.","Up, down, its always a reason for tight money.",178,01-12-2014 15:15,6569,2,1,15
Culture,Arts,,"U2 (Minus Bono), Springsteen and Kanye West to Play Times Square","A surprise concert to mark World AIDS Day wont include Bono, but will offer Bruce Springsteen, Kanye West and Carrie Underwood.","A surprise concert to mark World AIDS Day wont include Bono, but will offer Bruce Springsteen, Kanye West and Carrie Underwood.",238,01-12-2014 15:12,6570,2,1,15
Business,Business Day,Small Business,Hiring When You Can't Find the Person You Are Looking For,How do you hire the person who may one day be your advocate at a foreign hospital?,How do you hire the person who may one day be your advocate at a foreign hospital?,667,01-12-2014 15:00,6571,2,1,15
,Opinion,The Public Editor,"Should The Times Have 'Left It Out' -- and What, Exactly, Was 'It'? ",Misinformation about whether The Times published a police officers address provoked a huge reader outcry.,Misinformation about whether The Times published a police officers address provoked a huge reader outcry.,661,01-12-2014 14:57,6572,2,1,14
OpEd,Opinion,,Qatar Still Detaining American Couple in Bogus Child Endangerment Case,The Huangs were initially charged with murder in the death of their 8-year-old daughter.,The Huangs were initially charged with murder in the death of their 8-year-old daughter.,277,01-12-2014 14:45,6573,2,1,14
Science,Health,,"Prescribing Vegetables, Not Pills","Instead of drugs or admonishments to lose weight, which typically fall on deaf ears, some doctors are providing families with a prescription to eat fruits and vegetables.","Instead of drugs or admonishments to lose weight, which typically fall on deaf ears, some doctors are providing families with a prescription to eat fruits and vegetables.",1057,01-12-2014 14:44,6574,2,1,14
Business,Business Day,Dealbook,How a Vodafone Deal for Liberty Global Could Work,"The strategic case for a takeover of $90 billion or more is easier to make than the financial one, says Quentin Webb of Reuters Breakingviews.","The strategic case for a takeover of $90 billion or more is easier to make than the financial one, says Quentin Webb of Reuters Breakingviews.",415,01-12-2014 14:30,6575,2,1,14
Styles,U.S.,,"An Aging Parent's Frustrations, Heard but Not Absorbed","For years, Ive been listening as my once-vibrant father transfers his frustration with his chronic ailments onto me. But when I hang up the phone, I hang up his dissatisfaction, too.","For years, Ive been listening as my once-vibrant father transfers his frustration with his chronic ailments onto me. But when I hang up the phone, I hang up his dissatisfaction, too.",761,01-12-2014 14:25,6576,2,1,14
TStyle,,,Men's Wear Turns Conventional,"Traditional codes of formal attire suddenly feel right, from ruffle-front shirts and high-waisted pants to velvet suits and tuxedo stripes.","Traditional codes of formal attire suddenly feel right, from ruffle-front shirts and high-waisted pants to velvet suits and tuxedo stripes.",20,01-12-2014 14:15,6577,2,1,14
,,,Tighter Rules on Police Equipment in Wake of Ferguson Clashes,President Obama on Monday announced that he would tighten standards on the provision and use of military-style equipment by local police departments.,President Obama on Monday announced that he would tighten standards on the provision and use of military-style equipment by local police departments.,69,01-12-2014 14:04,6578,2,1,14
Culture,,,Reese Witherspoon's Personal 'Wild' Audience,"Serving as both star and producer, she showed the film to her mother, her co-star Laura Dern and Ms. Derns parents. Afterward there was silence.","Serving as both star and producer, she showed the film to her mother, her co-star Laura Dern and Ms. Derns parents. Afterward there was silence.",393,01-12-2014 14:00,6579,2,1,14
Culture,Arts,,Cush Jumbo to Bring Josephine Baker Onstage at Joe's Pub,"The British actress Cush Jumbo will star in Josephine and I, a one-woman show she wrote, for a five-week run.","The British actress Cush Jumbo will star in Josephine and I, a one-woman show she wrote, for a five-week run.",146,01-12-2014 14:00,6580,2,1,14
OpEd,Opinion,,Is Christie Running? The Pigs Say &lsquo;Yes&rsquo;,The governor vetoed a bill that would have banned gestation crates.,The governor vetoed a bill that would have banned gestation crates.,286,01-12-2014 13:45,6581,2,1,13
TStyle,,,The Colorful History of California Graphic Design,"From modernist book jackets to the Whole Earth Catalog, Earthquakes, Mudslides, Fires & Riots chronicles the states contributions to visual culture.","From modernist book jackets to the Whole Earth Catalog, Earthquakes, Mudslides, Fires & Riots chronicles the states contributions to visual culture.",439,01-12-2014 13:15,6582,2,1,13
Travel,Travel,,Walkabout: Uber Takes On Mercedes-Benz Taxis in Germany,A weekly capsule of travel news curated by our writers and editors.,A weekly capsule of travel news curated by our writers and editors.,177,01-12-2014 13:13,6583,2,1,13
Business,Business Day,Dealbook,"Law School Is Buyers' Market, With Top Students in Demand ","Law schools, facing declining enrollment, are trying to attract students by cutting or freezing tuition and increasing financial aid.","Law schools, facing declining enrollment, are trying to attract students by cutting or freezing tuition and increasing financial aid.",1175,01-12-2014 13:07,6584,2,1,13
Business,Business Day,Small Business,Today in Small Business: 'Mean People Fail',There are pluses and minuses to collapsing oil prices. A California bill would require retailers and restaurants to pay double on holidays. A salad chain manages to attract tech investors.,There are pluses and minuses to collapsing oil prices. A California bill would require retailers and restaurants to pay double on holidays. A salad chain manages to attract tech investors.,427,01-12-2014 13:00,6585,2,1,13
Business,Technology,,Uber Plays Defense Against Privacy Invasion Claims,The ride-hailing start-up responds to accusations that it does not take user privacy seriously.,The ride-hailing start-up responds to accusations that it does not take user privacy seriously.,593,01-12-2014 12:45,6586,2,1,12
,,,Why the Pope Called Europe a Grandmother,"At the European Parliament, Pope Francis offered tough love for the Continent. Will his blunt talk be inspiration or mere irritation? ","At the European Parliament, Pope Francis offered tough love for the Continent. Will his blunt talk be inspiration or mere irritation? ",910,01-12-2014 12:39,6587,2,1,12
TStyle,,,Guatemalan Modern,"For a design-obsessed couple, the chance to mix furniture by Charlotte Perriand and Vladimir Kagan with Mayan pottery, bright tiles and local textiles  and to return home  proved irresistible.","For a design-obsessed couple, the chance to mix furniture by Charlotte Perriand and Vladimir Kagan with Mayan pottery, bright tiles and local textiles  and to return home  proved irresistible.",140,01-12-2014 12:30,6588,2,1,12
Foreign,,,1964: Russians Launch Mars Probe ,Highlights from the International Herald Tribune archives: The Soviet Union continues the race to Mars in 1964.,Highlights from the International Herald Tribune archives: The Soviet Union continues the race to Mars in 1964.,59,01-12-2014 12:26,6589,2,1,12
Culture,,,What to Watch for in the Foreign-Language Race,"Russia and Sweden have the buzziest entries  Leviathan and Force Majeure  but dont count out France, Germany, Turkey, Argentina and, in a first, Mauritania.","Russia and Sweden have the buzziest entries  Leviathan and Force Majeure  but dont count out France, Germany, Turkey, Argentina and, in a first, Mauritania.",1017,01-12-2014 12:01,6590,2,1,12
Business,Crosswords/Games,,Making Way,Two puzzles and a curious tidbit from Futility Closet curator Greg Ross.,Two puzzles and a curious tidbit from Futility Closet curator Greg Ross.,889,01-12-2014 12:00,6591,2,1,12
,,,Verbatim: How Cool Is Obama?,Comedian Chris Rock offers his assessment of President Obama.,Comedian Chris Rock offers his assessment of President Obama.,51,01-12-2014 11:50,6592,2,1,11
,,,William C. Rhoden Discusses Ray Rice,"William C. Rhoden, a sports columnist for The Times, joined CBS This Morning to talk about the latest updates on the N.F.L.s handling of the Ray Rice scandal.","William C. Rhoden, a sports columnist for The Times, joined CBS This Morning to talk about the latest updates on the N.F.L.s handling of the Ray Rice scandal.",28,01-12-2014 11:42,6593,2,1,11
Business,Business Day,Dealbook,Caution Over China's Deposit Guarantee,"A long-awaited plan to protect bank savings could have strange effects in a system where citizens believe the state stands behind almost everything, says John Foley of Reuters Breakingviews.","A long-awaited plan to protect bank savings could have strange effects in a system where citizens believe the state stands behind almost everything, says John Foley of Reuters Breakingviews.",393,01-12-2014 11:38,6594,2,1,11
,,,G.O.P. Aide Quits Over Remarks Critical of Obama Daughters,"Elizabeth Lauten, a congressional staffer, resigned after posting critical comments of Sasha and Malia Obama on her Facebook page over the weekend.","Elizabeth Lauten, a congressional staffer, resigned after posting critical comments of Sasha and Malia Obama on her Facebook page over the weekend.",189,01-12-2014 11:34,6595,2,1,11
Culture,Arts,,Fort Worth Opera to Showcase Works in Progress,"The Frontiers series will offer excerpts from new work by Jorge Sosa, Conrad Cummings, Zach Redler and others.","The Frontiers series will offer excerpts from new work by Jorge Sosa, Conrad Cummings, Zach Redler and others.",195,01-12-2014 11:33,6596,2,1,11
Culture,Arts,,P.J. Harvey to Release a Book of Poetry,"The Hollow of the Hand, with photographs by Seamus Murphy, is based on travels to Kosovo, Afghanistan and elsewhere.","The Hollow of the Hand, with photographs by Seamus Murphy, is based on travels to Kosovo, Afghanistan and elsewhere.",167,01-12-2014 11:32,6597,2,1,11
,,,"Pelosi, Biden and MSNBC: Bachmann Waxes Nostalgic","Michele Bachmann posts on Buzzfeed the 16 things shell miss about being in Congress, subtitled Macklemore, MSNBC, and Minnesota. A look back at 8 years in Congress.","Michele Bachmann posts on Buzzfeed the 16 things shell miss about being in Congress, subtitled Macklemore, MSNBC, and Minnesota. A look back at 8 years in Congress.",80,01-12-2014 11:18,6598,2,1,11
TStyle,,,Evening Wear's Quiet Splendor,Theres a festive elegance to clothes that sparkle in the light but dont outshine their wearer.,Theres a festive elegance to clothes that sparkle in the light but dont outshine their wearer.,16,01-12-2014 11:00,6599,2,1,11
Styles,U.S.,,Weekly Quandary: Would Santa Say 'No' to an iPad?,My 8-year-old boy/girl twins have decided theyre only asking Santa for one item this year: an iPad. Each. Im pretty sure Santa will say no. But should he? And how?,My 8-year-old boy/girl twins have decided theyre only asking Santa for one item this year: an iPad. Each. Im pretty sure Santa will say no. But should he? And how?,323,01-12-2014 10:56,6600,2,1,10
Business,Business Day,Dealbook,Chinese Group Raises Stakes in Club Med Bidding War,The bid by Fosun International trumps an offer by Global Resorts and will delay a decision on who wins Club Med until at least Dec. 17.,The bid by Fosun International trumps an offer by Global Resorts and will delay a decision on who wins Club Med until at least Dec. 17.,876,01-12-2014 10:53,6601,2,1,10
Foreign,,,1889: Electric Marvel,From the International Herald Tribune archives: Thousands gather in Paris for the inauguration of a power plant in 1889.,From the International Herald Tribune archives: Thousands gather in Paris for the inauguration of a power plant in 1889.,141,01-12-2014 10:05,6602,2,1,10
TStyle,,,A One-of-a-Kind Cuff from Cartier,"The house has coiled a serpent around an exotic emerald to create a one-of-a-kind platinum piece with 1,700 diamonds.","The house has coiled a serpent around an exotic emerald to create a one-of-a-kind platinum piece with 1,700 diamonds.",120,01-12-2014 10:00,6603,2,1,10
Culture,,,"Why the Gotham Awards Are, Ahem, a Tad Lightweight","The honors, presented by the Independent Filmmaker Project, kick off the awards season but they arent likely to predict who will take home the gold in February.","The honors, presented by the Independent Filmmaker Project, kick off the awards season but they arent likely to predict who will take home the gold in February.",328,01-12-2014 10:00,6604,2,1,10
Business,Business Day,Dealbook,Tattletales Embraced as Whistle-Blower Programs Gain Support,"Programs, and payouts, to encourage whistle-blowers to come forward with wrongdoing are likely to increase with the new Congress, Peter J. Henning writes.","Programs, and payouts, to encourage whistle-blowers to come forward with wrongdoing are likely to increase with the new Congress, Peter J. Henning writes.",952,01-12-2014 09:38,6605,2,1,9
OpEd,Opinion,,Famous Fake Prediction Failures,Things Keynesians didnt get wrong.,Things Keynesians didnt get wrong.,175,01-12-2014 09:33,6606,2,1,9
Culture,,,New York Film Critics Circle Crowns 'Boyhood' ,The group is to begin voting today and will announce results as the winners are chosen.,The group is to begin voting today and will announce results as the winners are chosen.,208,01-12-2014 09:20,6607,2,1,9
OpEd,Opinion,,"A Fresh Look at Power Lines, Cancer and the Dread-to-Risk Ratio",A video report looks back and fears and facts in the persistent debate over power lines and cancer.,A video report looks back and fears and facts in the persistent debate over power lines and cancer.,628,01-12-2014 09:08,6608,2,1,9
Business,Crosswords/Games,,"Deck Your Brains With Crossword Puzzles, Fa La La La La...",Celebrate the holidays with Elizabeth C. Gorski.,Celebrate the holidays with Elizabeth C. Gorski.,471,01-12-2014 09:00,6609,2,1,9
TStyle,,,The Daily Gift: A Repurposed Bottle Opener,"Each day until Christmas, the editors of T share a new holiday gift idea.","Each day until Christmas, the editors of T share a new holiday gift idea.",72,01-12-2014 09:00,6610,2,1,9
Business,Business Day,Dealbook,Lending Club Prices Its Share Offering at $10 to $12,"At the midpoint of that range, the peer-to-peer lender would be valued at about $4 billion.","At the midpoint of that range, the peer-to-peer lender would be valued at about $4 billion.",577,01-12-2014 08:55,6611,2,1,8
Business,Business Day,Dealbook,"With Spinoff, German Utility E.On to Focus on Renewable Energy","E.On said it would gradually leave the conventional power generation business of coal, nuclear,and natural gas, and concentrate on alternatives like wind and solar power.","E.On said it would gradually leave the conventional power generation business of coal, nuclear,and natural gas, and concentrate on alternatives like wind and solar power.",901,01-12-2014 08:33,6612,2,1,8
,,,"In Louisiana Tonight, the Last Debate of the 2014 Midterms ",Senator Mary Landrieu of Louisiana and Representative Bill Cassidy face off in the last debate of the 2014 midterm elections.,Senator Mary Landrieu of Louisiana and Representative Bill Cassidy face off in the last debate of the 2014 midterm elections.,181,01-12-2014 08:00,6613,2,1,8
Styles,,,Patagonia Bucks the Black Friday Trend ,"If you missed the sportswear brands swap events, use the new app instead.","If you missed the sportswear brands swap events, use the new app instead.",510,01-12-2014 07:45,6614,2,1,7
,,,Daily Clip Report,Daily Clip Report is a collection of articles about the media and The Times that is emailed each day to senior executives and newsroom managers here.,Daily Clip Report is a collection of articles about the media and The Times that is emailed each day to senior executives and newsroom managers here.,178,01-12-2014 07:25,6615,2,1,7
Business,Business Day,Dealbook,Morning Agenda: Oil Prices in Free Fall,Oil prices take a tumble. | An innovative lawsuit is putting United States-backed mortgages to the test. | A hedge fund titan is ordered to pay is former wife $531 million to settle their divorce. | Vodafone is said to be considering a move for...,Oil prices take a tumble. | An innovative lawsuit is putting United States-backed mortgages to the test. | A hedge fund titan is ordered to pay is former wife $531 million to settle their divorce. | Vodafone is said to be considering a move for Liberty Global.,2445,01-12-2014 07:20,6616,2,1,7
,,,Today in Politics,Unfinished business will make December a busy month.,Unfinished business will make December a busy month.,1519,01-12-2014 07:06,6617,2,1,7
Culture,,,Introducing Your New Carpetbagger,Cara Buckley has covered hurricanes and war. The Bagger may be her biggest challenge yet.,Cara Buckley has covered hurricanes and war. The Bagger may be her biggest challenge yet.,384,01-12-2014 07:00,6618,2,1,7
Business,Business Day,Small Business,It's Not All About the Premiums,"Last year, I decided to roll the dice and try a bronze plan. Now that were 11 months into the year, I can report what my cheap plan has cost me.","Last year, I decided to roll the dice and try a bronze plan. Now that were 11 months into the year, I can report what my cheap plan has cost me.",1464,01-12-2014 07:00,6619,2,1,7
,U.S.,Education,"What's Going On in This Picture? | Dec. 1, 2014","On Mondays, we publish a Times photo without a caption, headline or other information about its origins. Join the conversation by posting about what you see, and why. A live discussion is offered from 9 a.m. to 2 p.m. Eastern time.","On Mondays, we publish a Times photo without a caption, headline or other information about its origins. Join the conversation by posting about what you see, and why. A live discussion is offered from 9 a.m. to 2 p.m. Eastern time.",316,01-12-2014 07:00,6620,2,1,7
Business,Technology,,"In Apple Lawsuits, Steve Jobs Is Still Major Factor","The Apple co-founders emails  a mix of blunt threats and cheery financial promises  have made him an exceptional witness against his own company, even from beyond the grave.","The Apple co-founders emails  a mix of blunt threats and cheery financial promises  have made him an exceptional witness against his own company, even from beyond the grave.",146,01-12-2014 06:45,6621,2,1,6
Metro,N.Y. / Region,,New York Today: Enter December,"Monday: Holiday season is here, warm weather, and its World AIDS Day.","Monday: Holiday season is here, warm weather, and its World AIDS Day.",971,01-12-2014 05:59,6622,2,1,5
Business,Business Day,Dealbook,Deutsche Annington to Buy Gagfah in $4.85 Billion Deal,"The acquisition of Gagfah, a Luxembourg owner and manager of residential properties, would create a combined company with a portfolio of about 350,000 units.","The acquisition of Gagfah, a Luxembourg owner and manager of residential properties, would create a combined company with a portfolio of about 350,000 units.",269,01-12-2014 05:16,6623,2,1,5
,U.S.,Education,Do You Have a Dream Car?,Why do you think people sometimes become so attached to their cars?,Why do you think people sometimes become so attached to their cars?,522,01-12-2014 05:01,6624,2,1,5
,Multimedia,,Moving Pictures and Opportunity for Change,"An innovative collaboration that began with documenting the lives of teenagers who were victims of sex trafficking hopes not just to engage viewers, but also to spur them to act.","An innovative collaboration that began with documenting the lives of teenagers who were victims of sex trafficking hopes not just to engage viewers, but also to spur them to act.",796,01-12-2014 05:00,6625,2,1,5
,U.S.,Education,Test Yourself | Visiting All 13 Disney Parks,"Here are the first seven paragraphs from a Nov. 21 article, What I Discovered by Visiting Every Disney Park. Can you choose the best word for each blank?","Here are the first seven paragraphs from a Nov. 21 article, What I Discovered by Visiting Every Disney Park. Can you choose the best word for each blank?",46,01-12-2014 04:52,6626,2,1,4
Business,Business Day,Dealbook,John Laing Fund Offers $1.56 Billion for Balfour Beatty Investment Arm,The European infrastructure fund made a cash offer for the British construction and services companys portfolio of investments in public-private partnerships.,The European infrastructure fund made a cash offer for the British construction and services companys portfolio of investments in public-private partnerships.,241,01-12-2014 04:33,6627,2,1,4
,U.S.,Education,6 Q's About the News | What's That Smell? It's the Latest Blockbuster.,How are some theaters trying to lure back young viewers?,How are some theaters trying to lure back young viewers?,175,01-12-2014 04:29,6628,2,1,4
Foreign,World,Asia Pacific,The Scene as Police Sent Protesters Fleeing in Hong Kong,"A semblance of calm returned to the citys streets on Monday after a tense and at times frightening night, with numerous pro-democracy protesters and police officers injured as both sides vied for control of a road along the main government...","A semblance of calm returned to the citys streets on Monday after a tense and at times frightening night, with numerous pro-democracy protesters and police officers injured as both sides vied for control of a road along the main government offices.",661,01-12-2014 01:21,6629,2,1,1
,U.S.,Education,Word of the Day | pyromaniac,This word has appeared in five New York Times articles in the past two years.,This word has appeared in five New York Times articles in the past two years.,224,01-12-2014 00:03,6630,2,1,0
Foreign,World,Asia Pacific,China Slips in Corruption Perceptions Report,"Beijings campaign against graft has netted thousands of officials, but the perception of China as a deeply corrupt country is only rising, according to a watchdog group.","Beijings campaign against graft has netted thousands of officials, but the perception of China as a deeply corrupt country is only rising, according to a watchdog group.",778,02-12-2014 23:51,6631,3,2,23
Business,Business Day,Dealbook,Big Law Firms Bring Back Hefty Bonuses for Associates,"Associates at large law firms in New York are taking home bonuses this year of $15,000 to $100,000, or more, depending on their tenure.","Associates at large law firms in New York are taking home bonuses this year of $15,000 to $100,000, or more, depending on their tenure.",929,02-12-2014 23:01,6632,3,2,23
Business,Crosswords/Games,,Gets the Team Together,Patrick Blindauer gets us over the midweek blues.,Patrick Blindauer gets us over the midweek blues.,364,02-12-2014 22:00,6633,3,2,22
